Sample ID,Before digestion (average of 3 samples),Stdev,After digestion (average of 3 samples),Stdev
,[g],,[g],
901,0.0565,0.0325,0,0
902,0.2974,0.1841,0,0
903,0.3468,0.0557,0,0
904,0.227,0.0397,0,0
905,0.0292,0.0049,0,0
906,0.0328,0.0066,0,0
907,0.042,0.0048,0.0015,0.0012
908,0.044,0.0167,0.0016,0.0008
909,0.0972,0.0286,0.0025,0.0009
910,0.0227,0.0046,0.0023,0.0007
911,0.0561,0.0191,0.0037,0.0013
912,0.072,0.0197,0.0058,0.0025
913,0.0315,0.0094,0.0019,0.0002
914,0.0465,0.0072,0.0047,0.0006
915,0.0277,0.0147,0.0075,0.001
916,0.0435,0.0236,0.0085,0.0021
917,0.3144,0.1101,0.0394,0.0025
918,0.0215,0.0071,0.0032,0.0007
919,0.0706,0.03,0.0032,0.0003
920,0.0237,0.0018,0.0064,0.0007
921,0.0753,0.0131,0.0044,0.0004
922,0.0383,0.0056,0.0037,0.0004
